species
accipiter-cooperii
accipiter-gentilis
actitis-macularius
aechmophorus-occidentalis
aegolius-acadicus
aegolius-funereus
agapornis-roseicollis
aix-sponsa
alca-torda
alopochen-aegyptiaca
amazilia-violiceps
anas-platyrhynchos
anser-albifrons
anser-caerulescens
antigone-canadensis
antrostomus-arizonae
antrostomus-carolinensis
antrostomus-vociferus
aquila-chrysaetos
aramus-guarauna
ardea-alba
ardea-herodias
arenaria-interpres
asio-flammeus
asio-otus
athene-cunicularia
bartramia-longicauda
botaurus-lentiginosus
branta-bernicla
branta-canadensis
branta-hutchinsii
bubo-virginianus
bubulcus-ibis
bucephala-clangula
buteo-jamaicensis
buteo-lineatus
buteo-plagiatus
buteo-platypterus
calidris-alba
calidris-alpina
calidris-bairdii
calidris-canutus
calidris-fuscicollis
calidris-himantopus
calidris-maritima
calidris-melanotos
calidris-minutilla
calidris-pusilla
callipepla-californica
callipepla-gambelii
callipepla-squamata
calypte-anna
centrocercus-urophasianus
charadrius-semipalmatus
charadrius-vociferus
chlidonias-niger
chloroceryle-americana
chordeiles-acutipennis
chordeiles-minor
chroicocephalus-philadelphia
clangula-hyemalis
coccyzus-americanus
coccyzus-erythropthalmus
colaptes-auratus
colinus-virginianus
columba-livia
columbina-inca
columbina-passerina
crotophaga-sulcirostris
cygnus-buccinator
cygnus-columbianus
cygnus-olor
dendragapus-fuliginosus
dendrocygna-autumnalis
dryobates-pubescens
dryobates-scalaris
dryocopus-pileatus
elanoides-forficatus
eugenes-fulgens
falco-columbarius
falco-peregrinus
falco-sparverius
francolinus-francolinus
fratercula-arctica
fulica-americana
fulmarus-glacialis
gallinago-delicata
gallinula-galeata
gallus-gallus
gavia-arctica
gavia-immer
gavia-stellata
gelochelidon-nilotica
geococcyx-californianus
geopelia-striata
gygis-alba
himantopus-mexicanus
hydroprogne-caspia
ixobrychus-exilis
lagopus-lagopus
lagopus-leucura
lagopus-muta
lampornis-clemenciae
larus-californicus
larus-canus
larus-delawarensis
larus-fuscus
larus-glaucescens
larus-heermanni
larus-hyperboreus
larus-marinus
laterallus-jamaicensis
leptotila-verreauxi
leuconotopicus-borealis
leuconotopicus-villosus
leucophaeus-atricilla
leucophaeus-pipixcan
limnodromus-scolopaceus
limosa-fedoa
mareca-penelope
mareca-strepera
megaceryle-alcyon
megaceryle-torquata
megascops-asio
megascops-kennicottii
megascops-trichopsis
melanerpes-carolinus
melanerpes-erythrocephalus
melanerpes-formicivorus
melanerpes-uropygialis
meleagris-gallopavo
mergus-merganser
micrathene-whitneyi
morus-bassanus
myiopsitta-monachus
numenius-americanus
numenius-phaeopus
nycticorax-nycticorax
nyctidromus-albicollis
oreortyx-pictus
ortalis-vetula
pandion-haliaetus
patagioenas-fasciata
patagioenas-flavirostris
perdix-perdix
phalacrocorax-auritus
phalacrocorax-brasilianus
phalacrocorax-carbo
phalacrocorax-pelagicus
phalaenoptilus-nuttallii
phalaropus-fulicarius
phalaropus-lobatus
phasianus-colchicus
phoebastria-immutabilis
phoebastria-nigripes
picoides-arcticus
picoides-dorsalis
plegadis-chihi
pluvialis-dominica
pluvialis-squatarola
podiceps-auritus
podiceps-grisegena
podiceps-nigricollis
podilymbus-podiceps
porphyrio-martinica
porzana-carolina
psiloscops-flammeolus
psittacula-krameri
puffinus-puffinus
rallus-elegans
rallus-limicola
rallus-obsoletus
recurvirostra-americana
rissa-tridactyla
rostrhamus-sociabilis
rynchops-niger
scolopax-minor
selasphorus-platycercus
selasphorus-rufus
somateria-mollissima
spatula-clypeata
spatula-discors
sphyrapicus-nuchalis
sphyrapicus-ruber
sphyrapicus-thyroideus
sphyrapicus-varius
spilopelia-chinensis
stercorarius-longicaudus
stercorarius-parasiticus
sterna-dougallii
sterna-forsteri
sterna-hirundo
sterna-paradisaea
sternula-antillarum
streptopelia-decaocto
strix-nebulosa
strix-occidentalis
strix-varia
tachybaptus-dominicus
thalasseus-elegans
thalasseus-maximus
thalasseus-sandvicensis
tringa-flavipes
tringa-glareola
tringa-melanoleuca
tringa-semipalmata
tringa-solitaria
trogon-elegans
tympanuchus-cupido
tympanuchus-phasianellus
uria-aalge
zenaida-asiatica
zenaida-macroura
