species
acanthis-flammea
acanthis-hornemanni
acridotheres-tristis
agelaius-phoeniceus
agelaius-tricolor
aimophila-ruficeps
alauda-arvensis
ammodramus-bairdii
ammodramus-henslowii
ammodramus-leconteii
ammodramus-maritimus
ammodramus-nelsoni
ammodramus-savannarum
amphispiza-bilineata
anthus-rubescens
anthus-spragueii
aphelocoma-californica
aphelocoma-wollweberi
aphelocoma-woodhouseii
arremonops-rufivirgatus
artemisiospiza-belli
artemisiospiza-nevadensis
auriparus-flaviceps
baeolophus-atricristatus
baeolophus-bicolor
baeolophus-inornatus
baeolophus-ridgwayi
baeolophus-wollweberi
bombycilla-cedrorum
bombycilla-garrulus
calamospiza-melanocorys
calcarius-lapponicus
calcarius-ornatus
camptostoma-imberbe
campylorhynchus-brunneicapillus
cardellina-canadensis
cardellina-pusilla
cardellina-rubrifrons
cardinalis-cardinalis
cardinalis-sinuatus
catharus-bicknelli
catharus-fuscescens
catharus-guttatus
catharus-minimus
catharus-ustulatus
catherpes-mexicanus
certhia-americana
chamaea-fasciata
chondestes-grammacus
cistothorus-palustris
cistothorus-stellaris
contopus-cooperi
contopus-pertinax
contopus-sordidulus
contopus-virens
corvus-brachyrhynchos
corvus-caurinus
corvus-corax
corvus-ossifragus
crithagra-mozambica
cyanocitta-cristata
cyanocitta-stelleri
cyanocorax-luxuosus
dolichonyx-oryzivorus
dumetella-carolinensis
empidonax-alnorum
empidonax-difficilis
empidonax-flaviventris
empidonax-fulvifrons
empidonax-hammondii
empidonax-minimus
empidonax-oberholseri
empidonax-occidentalis
empidonax-traillii
empidonax-virescens
empidonax-wrightii
eremophila-alpestris
estrilda-astrild
euphagus-carolinus
euphagus-cyanocephalus
geothlypis-formosa
geothlypis-philadelphia
geothlypis-tolmiei
geothlypis-trichas
gymnorhinus-cyanocephalus
haemorhous-cassinii
haemorhous-mexicanus
haemorhous-purpureus
helmitheros-vermivorum
hesperiphona-vespertina
himatione-sanguinea
hirundo-rustica
horornis-diphone
hylocichla-mustelina
icteria-virens
icterus-bullockii
icterus-cucullatus
icterus-galbula
icterus-graduacauda
icterus-gularis
icterus-parisorum
icterus-spurius
ixoreus-naevius
junco-hyemalis
junco-phaeonotus
lanius-ludovicianus
leiothlypis-celata
leiothlypis-luciae
leiothlypis-peregrina
leiothlypis-ruficapilla
leiothlypis-virginiae
limnothlypis-swainsonii
loxia-curvirostra
loxia-leucoptera
luscinia-svecica
melospiza-georgiana
melospiza-lincolnii
melospiza-melodia
melozone-aberti
melozone-crissalis
melozone-fusca
mimus-polyglottos
mniotilta-varia
molothrus-ater
motacilla-tschutschensis
myadestes-townsendi
myiarchus-cinerascens
myiarchus-crinitus
myiarchus-tuberculifer
myiarchus-tyrannulus
myioborus-pictus
myiodynastes-luteiventris
nucifraga-columbiana
oenanthe-oenanthe
oporornis-agilis
oreoscoptes-montanus
parkesia-motacilla
parkesia-noveboracensis
paroaria-coronata
passer-domesticus
passer-montanus
passerculus-sandwichensis
passerina-amoena
passerina-caerulea
passerina-ciris
passerina-cyanea
passerina-versicolor
perisoreus-canadensis
petrochelidon-fulva
petrochelidon-pyrrhonota
peucaea-aestivalis
peucaea-botterii
peucaea-carpalis
peucaea-cassinii
peucedramus-taeniatus
phainopepla-nitens
pheucticus-ludovicianus
pheucticus-melanocephalus
phylloscopus-borealis
pica-hudsonia
pica-nuttalli
pinicola-enucleator
pipilo-chlorurus
pipilo-erythrophthalmus
pipilo-maculatus
piranga-ludoviciana
piranga-olivacea
piranga-rubra
pitangus-sulphuratus
plectrophenax-nivalis
poecile-atricapillus
poecile-carolinensis
poecile-gambeli
poecile-hudsonicus
poecile-rufescens
poecile-sclateri
polioptila-caerulea
polioptila-californica
polioptila-melanura
pooecetes-gramineus
progne-subis
protonotaria-citrea
psaltriparus-minimus
pycnonotus-cafer
pycnonotus-jocosus
pyrocephalus-obscurus
quiscalus-major
quiscalus-mexicanus
quiscalus-quiscula
regulus-calendula
regulus-satrapa
riparia-riparia
salpinctes-obsoletus
sayornis-nigricans
sayornis-phoebe
sayornis-saya
seiurus-aurocapilla
setophaga-aestiva
setophaga-americana
setophaga-caerulescens
setophaga-castanea
setophaga-cerulea
setophaga-citrina
setophaga-discolor
setophaga-dominica
setophaga-fusca
setophaga-graciae
setophaga-kirtlandii
setophaga-magnolia
setophaga-nigrescens
setophaga-occidentalis
setophaga-palmarum
setophaga-pensylvanica
setophaga-pinus
setophaga-ruticilla
setophaga-striata
setophaga-tigrina
setophaga-townsendi
setophaga-virens
sialia-sialis
sicalis-flaveola
sitta-canadensis
sitta-carolinensis
sitta-pusilla
sitta-pygmaea
spinus-lawrencei
spinus-pinus
spinus-psaltria
spinus-tristis
spiza-americana
spizella-atrogularis
spizella-breweri
spizella-pallida
spizella-passerina
spizella-pusilla
spizelloides-arborea
sturnella-magna
sturnella-neglecta
sturnus-vulgaris
tachycineta-bicolor
tachycineta-thalassina
thryomanes-bewickii
thryothorus-ludovicianus
toxostoma-bendirei
toxostoma-crissale
toxostoma-curvirostre
toxostoma-lecontei
toxostoma-longirostre
toxostoma-redivivum
toxostoma-rufum
troglodytes-aedon
troglodytes-hiemalis
troglodytes-pacificus
turdus-migratorius
tyrannus-couchii
tyrannus-crassirostris
tyrannus-dominicensis
tyrannus-forficatus
tyrannus-melancholicus
tyrannus-tyrannus
tyrannus-verticalis
tyrannus-vociferans
vermivora-chrysoptera
vermivora-cyanoptera
vireo-altiloquus
vireo-atricapilla
vireo-bellii
vireo-cassinii
vireo-flavifrons
vireo-gilvus
vireo-griseus
vireo-huttoni
vireo-olivaceus
vireo-philadelphicus
vireo-plumbeus
vireo-solitarius
vireo-vicinior
xanthocephalus-xanthocephalus
zonotrichia-albicollis
zonotrichia-atricapilla
zonotrichia-leucophrys
zonotrichia-querula
zosterops-japonicus
