species
passer-montanus
passer-domesticus
corvus-corax
hirundo-rustica
phoebastria-immutabilis
loxia-curvirostra
sturnus-vulgaris
alauda-arvensis
troglodytes-aedon
melospiza-melodia
luscinia-svecica
agelaius-phoeniceus
mimus-polyglottos
rissa-tridactyla
thryomanes-bewickii
zonotrichia-albicollis
turdus-migratorius
cardinalis-cardinalis
vireo-gilvus
pipilo-maculatus
thryothorus-ludovicianus
cistothorus-palustris
catharus-ustulatus
asio-otus
toxostoma-curvirostre
myiarchus-tyrannulus
catharus-guttatus
vireo-olivaceus
junco-hyemalis
setophaga-ruticilla
dumetella-carolinensis
aegolius-funereus
larus-canus
icteria-virens
morus-bassanus
streptopelia-decaocto
icterus-bullockii
icterus-cucullatus
setophaga-aestiva
geothlypis-trichas
zonotrichia-leucophrys
uria-aalge
polioptila-caerulea
cistothorus-stellaris
poecile-atricapillus
hylocichla-mustelina
branta-canadensis
phasianus-colchicus
nyctidromus-albicollis
vireo-griseus
myiarchus-tuberculifer
pheucticus-melanocephalus
corvus-brachyrhynchos
icterus-galbula
accipiter-gentilis
toxostoma-rufum
melozone-fusca
sitta-carolinensis
pitangus-sulphuratus
sterna-hirundo
regulus-calendula
haemorhous-mexicanus
anas-platyrhynchos
spinus-psaltria
icterus-parisorum
sturnella-neglecta
spinus-tristis
leptotila-verreauxi
icterus-spurius
setophaga-magnolia
tyrannus-melancholicus
sturnella-magna
peucaea-botterii
bubo-virginianus
spinus-pinus
aegolius-acadicus
lanius-ludovicianus
pipilo-erythrophthalmus
spizella-passerina
piranga-rubra
setophaga-citrina
cyanocitta-cristata
myiodynastes-luteiventris
spizella-breweri
haemorhous-purpureus
quiscalus-mexicanus
myiarchus-cinerascens
passerculus-sandwichensis
pheucticus-ludovicianus
certhia-americana
setophaga-striata
parkesia-noveboracensis
setophaga-pensylvanica
poecile-gambeli
pooecetes-gramineus
phylloscopus-borealis
cardellina-pusilla
spiza-americana
vireo-solitarius
passerina-cyanea
baeolophus-bicolor
vireo-bellii
poecile-rufescens
setophaga-pinus
troglodytes-hiemalis
chondestes-grammacus
geothlypis-philadelphia
empidonax-alnorum
catharus-fuscescens
toxostoma-crissale
acridotheres-tristis
setophaga-americana
vireo-cassinii
spizella-pallida
pipilo-chlorurus
hesperiphona-vespertina
leiothlypis-celata
acanthis-flammea
contopus-sordidulus
setophaga-coronata
poecile-carolinensis
empidonax-minimus
molothrus-ater
myiarchus-crinitus
colaptes-auratus
toxostoma-redivivum
oenanthe-oenanthe
setophaga-fusca
setophaga-auduboni
pycnonotus-jocosus
troglodytes-pacificus
melospiza-lincolnii
geothlypis-tolmiei
leiothlypis-peregrina
amphispiza-bilineata
vireo-plumbeus
passerella-iliaca
perdix-perdix
quiscalus-quiscula
regulus-satrapa
cardinalis-sinuatus
ixoreus-naevius
cardellina-canadensis
callipepla-gambelii
piranga-ludoviciana
empidonax-difficilis
sterna-paradisaea
seiurus-aurocapilla
sitta-canadensis
empidonax-occidentalis
antigone-canadensis
setophaga-nigrescens
peucaea-aestivalis
psittacula-krameri
dolichonyx-oryzivorus
salpinctes-obsoletus
glaucidium-californicum
junco-phaeonotus
passerina-caerulea
calidris-alpina
cyanocitta-stelleri
lampornis-clemenciae
contopus-virens
ammodramus-henslowii
himantopus-mexicanus
tyrannus-crassirostris
empidonax-traillii
mniotilta-varia
piranga-olivacea
rallus-limicola
psiloscops-flammeolus
melanerpes-formicivorus
sicalis-flaveola
aimophila-ruficeps
calcarius-lapponicus
vireo-huttoni
strix-occidentalis
leuconotopicus-villosus
peucaea-carpalis
tachycineta-bicolor
tyrannus-vociferans
passerella-schistacea
passerella-megarhyncha
chlidonias-niger
ammodramus-savannarum
lanius-excubitor
passerella-unalaschcensis
myioborus-pictus
setophaga-graciae
peucaea-cassinii
puffinus-puffinus
eremophila-alpestris
progne-subis
passerina-amoena
leiothlypis-ruficapilla
empidonax-virescens
setophaga-cerulea
callipepla-californica
geothlypis-formosa
pandion-haliaetus
bombycilla-garrulus
bubulcus-ibis
riparia-riparia
passerina-ciris
zonotrichia-atricapilla
spizella-pusilla
setophaga-discolor
zenaida-asiatica
strix-varia
porzana-carolina
charadrius-vociferus
gallinula-galeata
tympanuchus-phasianellus
dryobates-pubescens
phalacrocorax-carbo
somateria-mollissima
catherpes-mexicanus
chordeiles-minor
psaltriparus-minimus
scolopax-minor
limnothlypis-swainsonii
empidonax-hammondii
megascops-kennicottii
contopus-pertinax
horornis-diphone
ammodramus-bairdii
campylorhynchus-brunneicapillus
spilopelia-chinensis
loxia-leucoptera
tringa-glareola
nycticorax-nycticorax
anser-caerulescens
melospiza-georgiana
parkesia-motacilla
gavia-stellata
setophaga-caerulescens
melanerpes-carolinus
numenius-phaeopus
auriparus-flaviceps
vireo-flavifrons
corvus-ossifragus
thalasseus-elegans
vermivora-cyanoptera
anser-albifrons
cygnus-olor
setophaga-tigrina
tyto-alba
corvus-caurinus
zosterops-japonicus
phalaenoptilus-nuttallii
calypte-anna
contopus-cooperi
sayornis-nigricans
xanthocephalus-xanthocephalus
vermivora-chrysoptera
larus-fuscus
sialia-sialis
zenaida-macroura
setophaga-castanea
poecile-sclateri
peucedramus-taeniatus
estrilda-astrild
haemorhous-cassinii
pluvialis-squatarola
aramus-guarauna
melozone-crissalis
dendrocygna-autumnalis
tyrannus-tyrannus
vireo-vicinior
phalaropus-lobatus
plectrophenax-nivalis
tyrannus-verticalis
columba-livia
fulica-americana
toxostoma-bendirei
setophaga-virens
arenaria-interpres
petrochelidon-pyrrhonota
myadestes-townsendi
setophaga-townsendi
empidonax-flaviventris
nucifraga-columbiana
gallinago-delicata
camptostoma-imberbe
columbina-inca
myiopsitta-monachus
empidonax-wrightii
thalasseus-sandvicensis
mareca-penelope
trogon-elegans
podilymbus-podiceps
phainopepla-nitens
